APR                                ['813']
APRIL                              ['518']
APRON                              ['19900']
APS                                ['13169']
APT                                ['8741']
AQ                                 ['17042']
AQUA                               ['8303']
AQUACULTURE                        ['15241']
AQUARIUM                           ['9654']
AQUATIC                            ['8849']
AQUEOUS                            ['19260']
AR                                 ['2181']
ARAB                               ['3560']
ARABIA                             ['5747']
ARABIAN                            ['15059']
ARABIC                             ['6199']
ARABIDOPSIS                        ['18737']
ARABS                              ['15558']
ARAFAT                             ['17456']
ARBITRARY                          ['8511']
ARBITRATION                        ['9274']
ARBOR                              ['9996']
ARC                                ['5326']
ARCADE                             ['4442']
ARCADIA                            ['16810']
ARCH                               ['6145']
ARCHAEOLOGICAL                     ['13097']
ARCHAEOLOGY                        ['10375']
ARCHBISHOP                         ['17085']
ARCHER                             ['14494']
ARCHERY                            ['14158']
ARCHITECT                          ['6718']
ARCHITECTS                         ['8086']
ARCHITECTURAL                      ['6070']
ARCHITECTURE                       ['1968']
ARCHITECTURES                      ['12867']
ARCHIVAL                           ['13746']
ARCHIVE                            ['703']
ARCHIVED                           ['5742']
ARCHIVES                           ['894']
ARCHIVING                          ['15678']
ARCTIC                             ['7733']
ARDEN                              ['17215']
ARE                                ['19']
AREA                               ['252']
AREAS                              ['639']
ARENA                              ['4822']
ARES                               ['18572']
ARG                                ['7322']
ARGENTINA                          ['4171']
